setting,dataset,sample_id,candidate,psnr,ssim,vccrp
structure_foreground,jung,jung_074,docres_classical040_blend_0.70,23.759254696745806,0.9513347148895264,0.05482722395105534
structure_foreground,jung,jung_075,docres_classical040_blend_0.95,22.937576388465253,0.9664886593818665,0.40188967197327014
structure_foreground,jung,jung_082,docres_classical040_blend_0.70,24.447564738891018,0.9721799492835999,0.051542092376692765
structure_foreground,kligler,natiCHW01_06,docres_classical040_blend_0.85,29.93145963791012,0.9592540860176086,0.6606581019959407
structure_foreground,kligler,natiCHW02_04,docres_input_blend_0.70,15.848758707702462,0.902313232421875,0.40887598219023785
structure_foreground,kligler,natiCHW02_05,classical_shadow_0.40,18.072012064642976,0.8967666625976562,0.17146348740129644
structure_foreground,kligler,natiCHW03_05,docres_classical040_blend_0.95,34.2856115172184,0.9569035768508911,0.5838306220991354
structure_foreground,kligler,natiCHW04_03,docres_classical040_blend_0.85,32.136034629929014,0.969523012638092,0.7026269287445908
structure_foreground,kligler,natiCHW04_05,docres_classical040_blend_0.95,29.98067291178124,0.9596495032310486,0.5942658663060472
structure_foreground,kligler,natiCHW04_12,docres_classical040_blend_0.85,30.28001272240683,0.964353621006012,0.6036297960578075
structure_foreground,kligler,natiCPO01_02,classical_shadow_0.40,21.247716496659482,0.9464111924171448,0.20925483497286176
structure_foreground,kligler,natiCPO02_02,docres_classical040_blend_0.95,28.980734308447488,0.9796654582023621,0.47201123713267423
structure_foreground,kligler,natiCPO03_01,docres_classical040_blend_0.95,33.18407289816069,0.9673749804496765,0.4885327144569388
structure_foreground,kligler,natiCPO03_09,docres_classical040_blend_0.85,32.65403924837258,0.963334858417511,0.5016652310581268
structure_foreground,kligler,natiCPO04_04,docres_classical040_blend_0.80,30.008299558760434,0.9590634107589722,0.47747581491911895
structure_foreground,kligler,natiCPO04_08,docres_classical040_blend_0.95,31.552190811018313,0.9613658785820007,0.48839925224088543
structure_foreground,kligler,natiCPO05_01,docres_classical040_blend_0.85,28.083885190437357,0.9665718674659729,0.30774220479308817
structure_foreground,kligler,natiCPO06_04,docres_classical040_blend_0.85,30.805167950709098,0.965350866317749,0.29505262769650753
structure_foreground,kligler,natiCPO06_05,docres_classical040_blend_0.95,25.7033714222945,0.9565160274505615,0.4583316655494255
structure_foreground,kligler,natiCPO06_06,docres_classical040_blend_0.80,26.635119706299363,0.961273729801178,0.43898758596686516
structure_foreground,kligler,natiCPO06_10,docres_classical040_blend_0.70,26.128965219619488,0.922709047794342,0.4632802625187027
structure_foreground,kligler,natiCPO07_03,docres_classical040_blend_0.80,27.189795671805676,0.9486889839172363,0.6337842296412819
