dataset,sample_id,method,psnr,ssim,edge_jaccard,edge_keep,foreground_shift,mean_shift,contrast_shift,contrast_after,sharp_after,content_risk
mixeddoc,mixeddoc_00667,classical_shadow_0.40,7.503758179679383,0.32124781608581543,0.932356402000622,0.9644089245699731,0.02885919540229885,0.10747418864097362,0.08116268083563877,53.14385218000778,8850.289245904823,0.1509860984597917
mixeddoc,mixeddoc_00667,docres_deshadow,7.493224423835333,0.3548133671283722,0.6315734496267894,0.7797714046202705,0.029211206896551725,0.11929529524453461,0.040938678315352764,63.40097282268071,9413.74774030395,0.267284479651522
mixeddoc,mixeddoc_00667,docres_input_blend_0.90,7.2463861136783,0.34804418683052063,0.6529124528454959,0.7959367090648224,0.022852011494252873,0.10736645255803477,0.0375050706665437,64.27654277312702,9242.239941093914,0.24449103113691983
mixeddoc,mixeddoc_00667,docres_input_blend_0.80,7.00301272973382,0.34075260162353516,0.6755120512196188,0.8121423159388048,0.01776580459770115,0.09543622379986477,0.033904817380013136,65.19460736119231,9098.261240489479,0.22230276149682654
mixeddoc,mixeddoc_00667,region_controller,6.79770231283629,0.33516421914100647,0.6881829793249843,0.8208194289951798,0.014397988505747127,0.08550902636916842,0.029791944216934804,66.24339001777729,8973.477618753222,0.2067944248873325
mixeddoc,mixeddoc_00668,classical_shadow_0.40,17.794551756713716,0.6528365015983582,0.9463387124679304,0.9722346020144398,0.017899425287356323,0.019747954699121082,0.03205480831678038,48.97536615776689,5835.787421584018,0.06917907154650428
mixeddoc,mixeddoc_00668,docres_deshadow,19.91009928432566,0.6970794796943665,0.7486708777919363,0.8673411177466798,0.02586206896551724,0.031918830290737006,0.03224346825097694,48.92725787454677,5571.859976612561,0.1710737870260269
mixeddoc,mixeddoc_00668,docres_input_blend_0.90,19.46364626265578,0.6940636038780212,0.7631897555237627,0.8765219716552277,0.02151867816091954,0.028714379084967354,0.029918239393930714,49.520191233093556,5575.5134410090395,0.15751998344557172
mixeddoc,mixeddoc_00668,docres_input_blend_0.80,19.01420587521622,0.6905615329742432,0.7780431276071689,0.8857028255637758,0.018099137931034483,0.025532279693486565,0.02736081896446598,50.17233344260706,5584.37603150852,0.1446091337638827
mixeddoc,mixeddoc_00668,region_controller,18.691787793274653,0.6901331543922424,0.7851887949131859,0.8904358677243961,0.016264367816091953,0.02236047441965293,0.025294658387001085,50.69920438986061,5580.389711088355,0.1370503949052201
