sample_id,method,candidate,clean_char_count,input_char_count,char_count,line_count,mean_conf,ocr_proxy_cer_to_clean,ocr_drift_from_input,conf_gain_vs_input,char_gain_vs_input,line_gain_vs_input
mixeddoc_01311,docres_deshadow,docres_deshadow,3303,3029,3057,102,0.7981688165480341,0.2431123221313957,0.211972522080471,0.0067439106325645,28,0
mixeddoc_01311,no_qwen_selected,docres_input_blend_0.80,3303,3029,3060,102,0.8017459580595806,0.2303966091432031,0.1866013071895425,0.010321052144111,31,0
mixeddoc_01311,qwen_selected,docres_input_blend_0.90,3303,3029,3049,102,0.8001249108937528,0.2316076294277929,0.1948179731059363,0.0087000049782832,20,0
mixeddoc_00508,input,input,4119,23,23,3,0.6398699260699802,0.9944161204175772,0.0,0.0,0,0
mixeddoc_00508,classical_shadow_0.40,classical_shadow_0.40,4119,23,16,2,0.7071006373323575,0.9961155620296188,0.391304347826087,0.0672307112623773,-7,-1
mixeddoc_00508,docres_deshadow,docres_deshadow,4119,23,138,5,0.5327854830278922,0.9674678319980576,0.8333333333333334,-0.1070844430420879,115,2
mixeddoc_00508,no_qwen_selected,region_controller,4119,23,99,3,0.5780643744783579,0.9762078174314154,0.7676767676767676,-0.0618055515916222,76,0
mixeddoc_00508,qwen_selected,docres_classical040_blend_0.90,4119,23,109,4,0.5527371587569847,0.9747511531925224,0.7889908256880734,-0.0871327673129954,86,1
mixeddoc_01631,input,input,384,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_01631,classical_shadow_0.40,classical_shadow_0.40,384,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_01631,docres_deshadow,docres_deshadow,384,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_01631,no_qwen_selected,docres_input_blend_0.80,384,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_01631,qwen_selected,docres_deshadow,384,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00735,input,input,3706,2813,2813,169,0.779345206324378,0.5984889368591473,0.0,0.0,0,0
mixeddoc_00735,classical_shadow_0.40,classical_shadow_0.40,3706,2813,2754,159,0.7764347809782631,0.5698866702644361,0.2481336651261997,-0.0029104253461148,-59,-10
mixeddoc_00735,docres_deshadow,docres_deshadow,3706,2813,2881,180,0.780151024346691,0.5906637884511603,0.3370357514751822,0.000805818022313,68,11
mixeddoc_00735,no_qwen_selected,docres_input_blend_0.90,3706,2813,2864,179,0.7799481311077955,0.5990286022665947,0.3198324022346369,0.0006029247834175,51,10
mixeddoc_00735,qwen_selected,region_controller,3706,2813,2827,176,0.7813921499452292,0.5955207771181867,0.2985496993279094,0.0020469436208512,14,7
mixeddoc_00348,input,input,360,230,230,27,0.6872762452995462,0.6,0.0,0.0,0,0
mixeddoc_00348,classical_shadow_0.40,classical_shadow_0.40,360,230,238,29,0.6853786724201946,0.5722222222222222,0.2100840336134453,-0.0018975728793516,8,2
mixeddoc_00348,docres_deshadow,docres_deshadow,360,230,243,31,0.725388000587666,0.5666666666666667,0.3127572016460905,0.0381117552881197,13,4
mixeddoc_00348,no_qwen_selected,docres_input_blend_0.90,360,230,240,29,0.7328378815313508,0.575,0.3041666666666666,0.0455616362318045,10,2
