dataset,sample_id,source_page_id,split,candidate,psnr,ssim,content_risk,edge_jaccard,edge_keep,foreground_shift,mean_shift,contrast_shift
jung,jung_003,jung_003,val,docres_input_blend_0.70,18.411849996584138,0.9341360330581665,0.37382428479663926,0.911852460920666,0.9655455495298274,0.2591754113227102,0.15628726163350434,0.0360716459292286
jung,jung_003,jung_003,val,docres_classical040_blend_0.80,22.87013332675498,0.9425048828125,0.397148023952378,0.9044335896205755,0.9626847106821235,0.2662035237725094,0.2062183712712964,0.036092984621863985
jung,jung_003,jung_003,val,docres_input_blend_0.80,20.27054695950345,0.9391372203826904,0.38687239631834414,0.9036905374221504,0.9612418528284989,0.26370319989635965,0.17845381526104423,0.03691935342315678
jung,jung_003,jung_003,val,docres_classical040_blend_0.85,23.374623497754683,0.9429566264152527,0.39949693879452614,0.9027106534775581,0.961838897457585,0.2670909444228527,0.21046719452128565,0.035883091751521726
jung,jung_003,jung_003,val,docres_input_blend_0.85,21.32744328852933,0.9408969283103943,0.39203472682737606,0.9020588441283901,0.9602467784466889,0.2651023448633243,0.18971606857537676,0.03679129875833484
jung,jung_003,jung_003,val,docres_classical040_blend_0.90,23.884673919701136,0.9434558749198914,0.40308502796139545,0.8980522653550357,0.9600477635703268,0.26802370773416245,0.21472009480045423,0.03553418241829963
jung,jung_003,jung_003,val,docres_input_blend_0.90,22.46401336141372,0.9422945976257324,0.3981552234250934,0.8978120917872314,0.9575352007562565,0.26752493846353154,0.200807239076483,0.03641294849792396
jung,jung_003,jung_003,val,docres_classical040_blend_0.95,24.39860262736977,0.9437568783760071,0.40698028191579194,0.8922462809326686,0.9564157420767202,0.2690568726518979,0.21869256913803228,0.035023467800466494
jung,jung_003,jung_003,val,docres_input_blend_0.95,23.68594198907713,0.9434254169464111,0.403954341821489,0.893909809370202,0.9566645106721727,0.26880424925508484,0.21231772123281237,0.03547777924159157
jung,jung_003,jung_003,val,docres_appearance,18.031150707196844,0.9145926237106323,0.4554222723922754,0.794602499317677,0.8921339370117917,0.26929977976421815,0.3501506468632277,0.021655661808716645
jung,jung_003,jung_003,val,docres_binarization,12.930752761529039,0.5719447135925293,0.7552355826082153,0.10933792397270418,0.11692123986267973,0.3888910480632206,0.42022539239818224,0.007396080659887058
jung,jung_003,jung_003,val,binary_input_blend_0.75,17.060239434908,0.7106309533119202,0.7442319776810665,0.16026143790468778,0.16774466391362755,0.3888910480632206,0.3155182907467949,0.0272493745636268
jung,jung_003,jung_003,val,binary_docres_blend_0.75,15.551948931382816,0.7326381206512451,0.7371493194836175,0.176987785747422,0.1852828498930295,0.3888910480632206,0.37130462393533653,0.02798970511659558
jung,jung_003,jung_003,val,binary_input_blend_0.90,14.531350304672607,0.6290415525436401,0.74795264090363,0.1379196139164458,0.14503209114881338,0.3888910480632206,0.3784526848697764,0.016694111943384316
jung,jung_003,jung_003,val,binary_docres_blend_0.90,13.892643554027039,0.6384634375572205,0.7470970327941399,0.13931727192714763,0.14630081098562117,0.3888910480632206,0.40087082041003985,0.0163163419355938
jung,jung_046,jung_046,val,input,16.54947310964697,0.9305210113525391,9.594675054458436e-12,0.9999999999786785,1.0,0.0,0.0,0.0
jung,jung_046,jung_046,val,classical_shadow_0.25,20.256871391904635,0.9412156343460083,0.08105425440448064,0.9787615094292417,0.9904479648621565,0.04844705414321253,0.05232911360218105,0.0035303901059240486
jung,jung_046,jung_046,val,classical_shadow_0.40,22.964345760489998,0.9441129565238953,0.14741082846830694,0.972061293010662,0.9873776678535638,0.09895557513116664,0.08359885773928637,0.004072153493706114
jung,jung_046,jung_046,val,classical_shadow_0.55,25.061296221381163,0.9442313313484192,0.16998062395962707,0.9651155494935666,0.9839235837188972,0.10604154449849265,0.1154702555984872,0.003421624156407502
jung,jung_046,jung_046,val,classical_shadow_0.70,24.407458376815857,0.9422774910926819,0.18965823209257326,0.9590828556339951,0.9810451802733418,0.11159303854529673,0.1467855163237954,0.001563786755093588
