dataset,sample_id,candidate,niqe,musiq,psnr,ssim,content_risk,selector,deqadoc
kligler,natiCPR05_03,classical_shadow_0.70,4.792989134236713,47.68778991699219,16.09209581934315,0.9098607897758484,0.4431009196096614,NIQE selector restricted16,
kligler,natiCPR05_07,classical_shadow_0.70,4.51984130169238,46.81473159790039,15.607384897215244,0.9080955982208252,0.4432810638016398,NIQE selector restricted16,
kligler,natiCPR05_12,classical_shadow_0.70,4.675747366432704,48.25254821777344,15.570649962195622,0.8935025930404663,0.4398127993807434,NIQE selector restricted16,
kligler,natiCSY01_02,classical_shadow_0.40,4.706363566481622,59.64221954345703,21.01433618401293,0.9184090495109558,0.1939889556680788,NIQE selector restricted16,
kligler,natiCSY01_04,classical_shadow_0.70,4.711480425115572,58.23486328125,16.058619969927513,0.891041100025177,0.4786755490699046,NIQE selector restricted16,
kligler,natiCSY01_07,classical_shadow_0.70,4.186501436829529,58.929954528808594,16.11824562975784,0.8950641751289368,0.5055572831810736,NIQE selector restricted16,
kligler,natiCSY01_08,classical_shadow_0.70,4.6980291952850495,57.12327194213867,16.58344793493853,0.8955234289169312,0.5257807127046173,NIQE selector restricted16,
kligler,natiCSY01_11,classical_shadow_0.70,4.726090082310504,56.56615829467773,13.971102350346898,0.8419699668884277,0.4680133208413408,NIQE selector restricted16,
kligler,natiCSY01_12,classical_shadow_0.70,4.709307211583434,56.27275848388672,15.856275090266916,0.9255260229110718,0.4543780552835206,NIQE selector restricted16,
kligler,natiCSY01_15,classical_shadow_0.25,4.749764925898368,58.22850036621094,21.33636189736513,0.956943154335022,0.1307463414568286,NIQE selector restricted16,
kligler,natiCSY02_01,classical_shadow_0.40,4.970961270204779,65.1178207397461,21.859125039425997,0.9570870995521544,0.4064084556308193,NIQE selector restricted16,
kligler,natiCSY02_02,classical_shadow_0.25,4.818161309016414,62.751708984375,19.193516792596174,0.9502851366996764,0.1043660468971292,NIQE selector restricted16,
kligler,natiCSY02_10,classical_shadow_0.25,4.920281452561954,62.293975830078125,18.73246081738441,0.9448323249816896,0.1134647300797054,NIQE selector restricted16,
kligler,natiCSY03_02,classical_shadow_0.70,4.511438121892806,48.81636428833008,15.316644800296352,0.911504566669464,0.3824976245686965,NIQE selector restricted16,
kligler,natiCSY03_03,classical_shadow_0.70,4.48863157070321,51.04889678955078,15.907785225133573,0.9151329398155212,0.4508883819905925,NIQE selector restricted16,
kligler,natiCSY03_05,classical_shadow_0.70,4.395500605404178,48.83024978637695,15.714269214711337,0.9152489304542542,0.4449726724177278,NIQE selector restricted16,
kligler,natiCSY03_06,classical_shadow_0.70,4.165222333550255,48.07478332519531,15.517799990876943,0.9102219343185424,0.4428423922572058,NIQE selector restricted16,
kligler,natiCSY04_06,classical_shadow_0.70,5.122301492128735,54.01652526855469,15.69091756555337,0.899429976940155,0.4765320290326452,NIQE selector restricted16,
kligler,natiCSY04_14,classical_shadow_0.70,5.234558686574438,53.58144760131836,15.62799571493352,0.8851626515388489,0.491947970315135,NIQE selector restricted16,
kligler,natiCSY04_15,classical_shadow_0.70,5.646254623874886,52.0659065246582,15.503718425176562,0.8821556568145752,0.4280302771456073,NIQE selector restricted16,
kligler,natiCSY06_02,classical_shadow_0.70,4.317843816820453,39.82255554199219,11.236755032909151,0.7994843125343323,0.5862260956447964,NIQE selector restricted16,
kligler,natiCSY06_04,classical_shadow_0.70,3.9949085623619385,37.75505828857422,11.688079575572266,0.7894886136054993,0.6843225262609114,NIQE selector restricted16,
kligler,natiCSY06_11,classical_shadow_0.70,4.219750927058223,40.74344253540039,11.01469338365312,0.7990309000015259,0.5220709441115378,NIQE selector restricted16,
kligler,natiCSY06_12,classical_shadow_0.70,4.407016036506423,40.16039657592773,11.460680140544309,0.8075094819068909,0.6739744746037136,NIQE selector restricted16,
kligler,natiCSY06_14,classical_shadow_0.70,4.2120832478258565,40.95913314819336,11.154186029280758,0.7978110909461975,0.5624604627081617,NIQE selector restricted16,
kligler,natiCSY07_08,classical_shadow_0.70,4.877130620484801,44.68220138549805,18.168157014197025,0.931177020072937,0.4725206943319964,NIQE selector restricted16,
kligler,natiCSY07_13,classical_shadow_0.70,4.697415951186609,46.81124114990234,19.27137740895174,0.9263973832130432,0.4726023255400813,NIQE selector restricted16,
compound_proxy,000004_jung_005_v00,docres_input_blend_0.95,5.285119947955463,53.55064392089844,15.595699638805836,0.4741219282150268,0.0836595175880665,MUSIQ selector restricted16,
compound_proxy,000004_jung_005_v01,docres_binarization,28.673634302359005,45.99043655395508,10.75460278576595,0.5050726532936096,0.7943809416422373,MUSIQ selector restricted16,
compound_proxy,000005_jung_006_v00,docres_appearance,5.638291342539438,53.18547821044922,19.33171770507948,0.9604334831237792,0.1828668800427069,MUSIQ selector restricted16,
compound_proxy,000005_jung_006_v01,docres_binarization,32.233266738172986,49.41841125488281,13.258533557655271,0.5170363783836365,0.493432753375789,MUSIQ selector restricted16,
compound_proxy,000013_jung_014_v00,docres_binarization,nan,25.073190689086918,12.398041678161029,0.3900440335273742,0.691450993712377,MUSIQ selector restricted16,
compound_proxy,000013_jung_014_v01,input,4.87971631982466,59.56742858886719,12.556807121434144,0.8876048922538757,8.298911557957922e-12,MUSIQ selector restricted16,
compound_proxy,000016_jung_017_v00,classical_shadow_0.25,4.679138082121935,49.43799209594727,17.576735626155575,0.4810016453266144,0.0848873520708565,MUSIQ selector restricted16,
compound_proxy,000016_jung_017_v01,input,4.062697395699013,56.92680358886719,17.72255098660335,0.9705256819725036,1.4298412454039068e-11,MUSIQ selector restricted16,
compound_proxy,000023_jung_024_v00,input,6.576733276309931,55.82719421386719,28.47946136089844,0.9970285892486572,1.1711731584540531e-11,MUSIQ selector restricted16,
compound_proxy,000023_jung_024_v01,input,8.468481306377061,59.68064880371094,14.587736879914749,0.6324447989463806,1.2896583800880989e-11,MUSIQ selector restricted16,
compound_proxy,000025_jung_026_v00,input,7.070757351359911,53.11468505859375,20.236996528649023,0.7614763379096985,3.6891290022822426e-11,MUSIQ selector restricted16,
compound_proxy,000025_jung_026_v01,input,8.159946540393964,49.71562194824219,15.030201943678913,0.8777980804443359,6.336246527460787e-11,MUSIQ selector restricted16,
compound_proxy,000030_jung_031_v00,docres_binarization,nan,26.75692749023437,14.609569208752736,0.7337793111801147,0.8308296535616678,MUSIQ selector restricted16,
compound_proxy,000030_jung_031_v01,input,5.108112641155995,56.265872955322266,16.598327901500788,0.9647144675254822,1.6919865508668864e-11,MUSIQ selector restricted16,
compound_proxy,000031_jung_032_v00,docres_appearance,4.554593561079625,52.93542098999024,17.830414836127815,0.9568274021148682,0.308844204967586,MUSIQ selector restricted16,
compound_proxy,000031_jung_032_v01,docres_appearance,5.162330684719593,57.323707580566406,18.607388419631533,0.9290671348571776,0.5154889407136265,MUSIQ selector restricted16,
compound_proxy,000037_jung_038_v00,docres_binarization,31.61615706349825,44.74998474121094,12.972020935655625,0.4637664556503296,0.8430890987688388,MUSIQ selector restricted16,
compound_proxy,000037_jung_038_v01,docres_binarization,23.89308865819832,51.01997756958008,12.93653572063777,0.4654816687107086,0.8155631893367774,MUSIQ selector restricted16,
compound_proxy,000038_jung_039_v00,docres_appearance,7.481022577217791,55.629276275634766,19.98973581416919,0.924962282180786,0.1894157157262263,MUSIQ selector restricted16,
compound_proxy,000038_jung_039_v01,docres_binarization,28.87738038640248,51.71455001831055,12.842554743776873,0.4693580567836761,0.7868181579624051,MUSIQ selector restricted16,
compound_proxy,000043_jung_044_v00,docres_binarization,nan,40.25677490234375,14.02218452801764,0.5330193638801575,0.8055763441454697,MUSIQ selector restricted16,
compound_proxy,000043_jung_044_v01,docres_binarization,22.406074440911265,55.53653717041016,11.700904469612908,0.5835118889808655,0.8930077229895476,MUSIQ selector restricted16,
compound_proxy,000046_jung_047_v00,docres_appearance,7.843519728192615,56.92981719970703,15.128602553884496,0.5501230359077454,0.193627270790345,MUSIQ selector restricted16,
compound_proxy,000046_jung_047_v01,docres_binarization,23.03617365961092,50.919429779052734,12.753564167310817,0.5898780822753906,0.8219365835125787,MUSIQ selector restricted16,
compound_proxy,000050_jung_051_v00,input,7.621977263680223,55.94495391845703,13.043480010851573,0.8191832900047302,3.541636983683816e-11,MUSIQ selector restricted16,
compound_proxy,000050_jung_051_v01,docres_binarization,32.262010204447456,45.37702941894531,13.741062689797497,0.6194181442260742,0.8060431599129305,MUSIQ selector restricted16,
compound_proxy,000051_jung_052_v00,input,6.340573623222705,65.13448333740234,19.699507145125924,0.5699775815010071,1.1437001345981913e-11,MUSIQ selector restricted16,
compound_proxy,000051_jung_052_v01,classical_shadow_0.40,5.288557250350679,62.57130432128906,14.728046333796026,0.5171879529953003,0.3566238168577464,MUSIQ selector restricted16,
compound_proxy,000057_jung_058_v00,input,6.840183585522803,54.87422180175781,19.775520483940227,0.6029854416847229,1.3670764520412604e-11,MUSIQ selector restricted16,
compound_proxy,000057_jung_058_v01,docres_binarization,nan,34.941856384277344,13.475358129771704,0.6602646112442017,0.519318782112445,MUSIQ selector restricted16,
dibco18,dibco18_001,docres_input_blend_0.95,4.002015360644563,50.14657974243164,9.57193718259502,0.7056974768638611,0.0465106228982009,MUSIQ selector restricted16,
dibco18,dibco18_007,docres_input_blend_0.70,4.206571782435589,51.09067535400391,13.55065698482802,0.7630302309989929,0.0771662683279829,MUSIQ selector restricted16,
dibco18,dibco18_008,input,4.726088471060104,43.05635833740234,9.804473792287563,0.6129225492477417,2.3259444370538064e-11,MUSIQ selector restricted16,
dibco19,dibco19_a_008,docres_binarization,23.922556010021484,51.64176559448242,19.782312627097905,0.951031506061554,0.4706250245906201,MUSIQ selector restricted16,
jung,jung_003,classical_shadow_0.25,7.535042659969019,61.44083786010742,13.911230264288896,0.8964261412620544,0.1030137516686872,MUSIQ selector restricted16,
jung,jung_020,input,4.961303193101369,59.79876708984375,13.078237859780646,0.8793730139732361,1.011261074879144e-11,MUSIQ selector restricted16,
jung,jung_029,input,9.951796623916524,60.49332427978516,15.103501895349126,0.8986929059028625,6.134942553970291e-12,MUSIQ selector restricted16,
jung,jung_046,docres_binarization,15.440265048943544,61.85422897338867,12.939647670181518,0.6931515336036682,0.6654516547288141,MUSIQ selector restricted16,
jung,jung_048,input,7.546822777708309,65.0311050415039,17.20940320055164,0.9345038533210754,1.2024031770252464e-11,MUSIQ selector restricted16,
jung,jung_052,input,5.853320099261361,68.6461410522461,15.901095470950338,0.9278212785720824,1.0114659110271871e-11,MUSIQ selector restricted16,
jung,jung_053,classical_shadow_0.25,6.418994126079281,57.82349395751953,18.09966535644572,0.9375813007354736,0.2856475058424531,MUSIQ selector restricted16,
jung,jung_058,input,5.779850566932752,58.77952575683594,15.455179040072773,0.9243389368057252,1.26539778655399e-11,MUSIQ selector restricted16,
jung,jung_061,input,6.399439261353654,60.9892807006836,14.28214407443541,0.9052327871322632,1.066277066641419e-11,MUSIQ selector restricted16,
jung,jung_063,classical_shadow_0.25,4.011758557356973,62.02981948852539,19.51770591898817,0.9130368232727052,0.131700427120928,MUSIQ selector restricted16,
jung,jung_067,input,5.579906767779332,56.21499252319336,15.802822679586347,0.8822113871574402,7.040268368285751e-12,MUSIQ selector restricted16,
jung,jung_069,input,3.6313657298955686,53.76069259643555,14.561828741670697,0.8519160151481628,7.799760837201575e-12,MUSIQ selector restricted16,
jung,jung_074,classical_shadow_0.25,3.7564765031837286,59.42355728149414,20.17004477168136,0.920409083366394,0.1301284768431341,MUSIQ selector restricted16,
jung,jung_075,input,5.410453881383565,63.84577941894531,13.473888139232864,0.9179552793502808,6.232464544453365e-12,MUSIQ selector restricted16,
jung,jung_082,input,4.158462417268695,56.14952087402344,17.926470926314234,0.9576358795166016,8.432954334836039e-12,MUSIQ selector restricted16,
kligler,natiCHW01_06,docres_input_blend_0.70,6.026454032013612,64.62530517578125,20.619429594166725,0.9515795111656188,0.3148382634995471,MUSIQ selector restricted16,
kligler,natiCHW02_04,input,4.890293858963661,67.47745513916016,14.399407368261228,0.8352164030075073,9.625450436701043e-12,MUSIQ selector restricted16,
kligler,natiCHW02_05,input,5.00650087252535,64.03089904785156,11.368417830275304,0.732757031917572,1.079886180477274e-11,MUSIQ selector restricted16,
kligler,natiCHW03_05,docres_binarization,18.688233155534427,51.319427490234375,9.109169241269685,0.7006877064704895,0.6736176998998848,MUSIQ selector restricted16,
kligler,natiCHW04_03,input,5.600879611688271,59.70869827270508,11.900817767047556,0.8040400147438049,3.2003399930147225e-11,MUSIQ selector restricted16,
