dataset,sample_id,candidate,psnr,ssim,content_risk,deqadoc,selector
jung,jung_067,docres_appearance,18.78600737547218,0.8293814063072205,0.44513173189034105,3.140625,DeQA-Doc selector
jung,jung_069,docres_appearance,18.353444169116376,0.8335286974906921,0.3772843951487537,3.259765625,DeQA-Doc selector
jung,jung_074,classical_shadow_0.55,16.791719038045297,0.8432938456535339,0.30576151491245374,3.0078125,DeQA-Doc selector
jung,jung_075,docres_appearance,16.62636149701912,0.9339326024055481,0.43995866162082997,3.51953125,DeQA-Doc selector
jung,jung_082,docres_appearance,17.11939869401059,0.9457695484161377,0.22618867082143512,3.248046875,DeQA-Doc selector
dibco18,dibco18_001,binary_docres_blend_0.90,23.731060170970594,0.9683055281639099,0.4163945489968175,2.81640625,DeQA-Doc selector
dibco18,dibco18_007,binary_input_blend_0.75,20.242810436585206,0.9414417743682861,0.3180768561166427,2.48046875,DeQA-Doc selector
dibco18,dibco18_008,docres_binarization,19.496589516540503,0.9460956454277039,0.39426824410827715,3.00390625,DeQA-Doc selector
dibco19,dibco19_a_008,docres_binarization,19.782312627097905,0.951031506061554,0.47062502459062017,3.373046875,DeQA-Doc selector
kligler,natiCHW01_06,binary_docres_blend_0.75,12.265243572005517,0.7833012342453003,0.5412510405823664,3.4140625,DeQA-Doc selector
kligler,natiCHW02_04,docres_appearance,9.202600793472248,0.7874809503555298,0.4535876893723989,3.34765625,DeQA-Doc selector
kligler,natiCHW02_05,docres_appearance,9.23134952739787,0.7836911678314209,0.4952649633091645,3.353515625,DeQA-Doc selector
kligler,natiCHW03_05,docres_appearance,10.43930328114369,0.8486416339874268,0.5659269210623616,3.119140625,DeQA-Doc selector
kligler,natiCHW04_03,docres_appearance,10.398719074717299,0.8408867120742798,0.6453148495800715,3.33203125,DeQA-Doc selector
kligler,natiCHW04_05,docres_deshadow,29.959199868646202,0.9597363471984863,0.5876784150621864,3.298828125,DeQA-Doc selector
kligler,natiCHW04_12,docres_deshadow,32.74821012207953,0.9644644260406494,0.5611008369326609,3.3125,DeQA-Doc selector
kligler,natiCPO01_02,docres_appearance,10.838866972378394,0.8498168587684631,0.6149810951479442,3.671875,DeQA-Doc selector
kligler,natiCPO02_02,docres_appearance,12.56763833470512,0.8494038581848145,0.5392438992403392,3.720703125,DeQA-Doc selector
kligler,natiCPO03_01,docres_appearance,11.648841732103305,0.8781389594078064,0.5428272489530724,3.46484375,DeQA-Doc selector
kligler,natiCPO03_09,docres_appearance,11.68287910590237,0.8796670436859131,0.5432574975017785,3.466796875,DeQA-Doc selector
kligler,natiCPO04_04,docres_appearance,12.381393154308281,0.8598885536193848,0.5471571324818028,3.248046875,DeQA-Doc selector
kligler,natiCPO04_08,docres_appearance,12.335620873978009,0.8627111315727234,0.5450892177682355,3.2578125,DeQA-Doc selector
kligler,natiCPO05_01,docres_appearance,15.525662457115622,0.9285998940467834,0.3836701319426418,3.916015625,DeQA-Doc selector
kligler,natiCPO06_04,docres_binarization,9.498302240618433,0.6541247367858887,0.7477280294986772,3.90625,DeQA-Doc selector
kligler,natiCPO06_05,docres_binarization,8.891905379262703,0.6661391854286194,0.7803237633691714,4.1328125,DeQA-Doc selector
kligler,natiCPO06_06,docres_binarization,8.963020702741485,0.6685014367103577,0.7731266856718638,3.8203125,DeQA-Doc selector
kligler,natiCPO06_10,docres_appearance,13.11517896089228,0.8781254887580872,0.5467787179266351,3.859375,DeQA-Doc selector
kligler,natiCPO07_03,docres_appearance,12.327481149741978,0.8943942189216614,0.6327365350786768,2.978515625,DeQA-Doc selector
kligler,natiCPO07_09,docres_appearance,12.22290820773243,0.8683795928955078,0.5946314046475666,2.931640625,DeQA-Doc selector
kligler,natiCPO07_12,docres_appearance,12.214332543269762,0.877423882484436,0.5651240670069375,2.9921875,DeQA-Doc selector
kligler,natiCPO08_01,docres_appearance,13.68362928575958,0.9063413143157959,0.44482336302506365,3.55078125,DeQA-Doc selector
kligler,natiCPO08_02,docres_appearance,13.604375899113496,0.8917612433433533,0.44624251173440277,3.625,DeQA-Doc selector
kligler,natiCPO08_05,docres_appearance,13.505715225059426,0.9013870358467102,0.4465799972901827,3.587890625,DeQA-Doc selector
kligler,natiCPO08_06,docres_appearance,13.783043914629614,0.8947057723999023,0.44353132743179935,3.619140625,DeQA-Doc selector
kligler,natiCPR01_01,docres_deshadow,25.132008615588617,0.9681494832038879,0.3636660446692217,3.3203125,DeQA-Doc selector
kligler,natiCPR01_10,docres_appearance,13.185867611693265,0.8943769931793213,0.4119309550529202,3.50390625,DeQA-Doc selector
kligler,natiCPR01_11,docres_appearance,13.28205263096029,0.8750877380371094,0.42789245685616706,3.349609375,DeQA-Doc selector
kligler,natiCPR01_14,docres_deshadow,24.077669140810485,0.9337374567985535,0.33101338338363745,3.34765625,DeQA-Doc selector
kligler,natiCPR02_10,docres_classical040_blend_0.90,27.83009729563373,0.9412931799888611,0.4073118563097932,3.22265625,DeQA-Doc selector
kligler,natiCPR02_12,docres_classical040_blend_0.90,27.01449364681279,0.9400250911712646,0.42306721396104274,3.24609375,DeQA-Doc selector
kligler,natiCPR03_07,docres_appearance,11.390872529526185,0.8714666366577148,0.4527604548752049,3.177734375,DeQA-Doc selector
kligler,natiCPR03_09,docres_deshadow,26.50836204744399,0.9668396711349487,0.3754788267472306,3.16796875,DeQA-Doc selector
kligler,natiCPR03_11,docres_classical040_blend_0.85,29.20223794062923,0.9645018577575684,0.415565097849249,3.1875,DeQA-Doc selector
kligler,natiCPR04_06,docres_appearance,10.294603978646492,0.8496800065040588,0.5199487193361441,3.447265625,DeQA-Doc selector
kligler,natiCPR04_09,docres_appearance,10.284944871935583,0.8459132313728333,0.5156460157663083,3.470703125,DeQA-Doc selector
kligler,natiCPR04_11,docres_appearance,10.290572663622797,0.8490736484527588,0.5194675124520574,3.484375,DeQA-Doc selector
kligler,natiCPR05_03,docres_appearance,10.98995775728347,0.8687472343444824,0.5417830401193574,4.01171875,DeQA-Doc selector
kligler,natiCPR05_07,docres_appearance,10.982669217866546,0.8688390851020813,0.5286428546046753,3.966796875,DeQA-Doc selector
kligler,natiCPR05_12,docres_binarization,9.810394418064135,0.771934449672699,0.7135347119699699,4.24609375,DeQA-Doc selector
kligler,natiCSY01_02,binary_docres_blend_0.90,10.28121003167736,0.7037529349327087,0.7050088896645256,3.9609375,DeQA-Doc selector
kligler,natiCSY01_04,docres_appearance,11.277328969810673,0.8467466235160828,0.568071515026345,3.849609375,DeQA-Doc selector
kligler,natiCSY01_07,docres_appearance,11.309003064674329,0.8465267419815063,0.576899417134699,3.806640625,DeQA-Doc selector
